id,name,percent,species_id:id,group_id:id
2152,Mobili e macchine ordinarie d'ufficio 12% ,,459,20
2153,Macchine d'ufficio elettromeccaniche ed elettroniche compresi i computers e i sistemi telefonici elettronici 20% ,,459,20
2154,"Autoveicoli da trasporto (autoveicoli pesanti in genere, carrelli elevatori, mezzi di trasporto interno, ecc) 20% ",,459,20
2155,"Autovetture, motoveicoli e simili 25% ",,459,20
2156,"Fabbricati destinati all'industria (teatri, piazzali, strade) 5,5% ",,460,20
2157,"Costruzioni leggere (tettoie, baracche, ecc) 10% ",,460,20
2158,"Impianti generici, produzione e trasporto energia 10% ",,460,20
2159,"Attrezzatura specifica (macchine da ripresa, gruppi elettrogeni, doppiaggio, registrazione sonora, sviluppo e stampa, ecc) 19% ",,460,20
2160,"Attrezzatura generica (officina, falegnameria, ecc)7,5% ",,460,20
2161,Mobili e macchine ordinarie d'ufficio 12% ,,460,20
2162,Macchine d'ufficio elettromeccaniche ed elettroniche compresi i computers e i sistemi telefonici elettronici 20% ,,460,20
2163,"Autoveicoli da trasporto (autoveicoli pesanti in genere, carrelli elevatori, mezzi di trasporto interno, ecc) 20% ",,460,20
2164,"Autovetture, motoveicoli e simili 25% ",,460,20
2166,"Specie 1a -Ospedali, cliniche, sanatori, case di cura ed istituti similari privati",,461,21
2167,Edifici 3% ,,461,21
2168,"Costruzioni leggere (tettoie, baracche, ecc) 10% ",,461,21
2169,Mobili ed arredamento 10% ,,461,21
2170,Biancheria 40% ,,461,21
2171,"Attrezzatura generica (stoviglie, posate, ecc) 25% ",,461,21
2172,"Attrezzatura specifica 12,5% ",,461,21
2173,"Impianti destinati al trattamento ed al depuramento delle acque, fumi nocivi, ecc mediante impiego di reagenti chimici 15% ",,461,21
2174,Mobili e macchine ordinarie d'ufficio 12% ,,461,21
2175,Macchine d'ufficio elettronimeccaniche ed elettroniche compresi i computers e i sistemi telefonici elettronici 20% ,,461,21
2176,"Autoveicoli da trasporto (autoveicoli pesanti in genere, carrelli elevatori, mezzi di trasporto interno, ecc) 20% ",,461,21
2177,"Autovetture, motoveicoli e simili 25% ",,461,21
2178,Edifici 3% ,,462,22
2179,"Costruzioni leggere (tettoie, baracche, ecc) 10% ",,462,22
2180,Mobili ed arredamento 10% ,,462,22
2181,Biancheria 40% ,,462,22
2182,"Impianti specifici (igienici, riscaldamento, condizionamento, ecc) 8% ",,462,22
2183,Attrezzatura generica 25% ,,462,22
2184,Mobili e macchine ordinarie d'ufficio 12% ,,462,22
2185,Macchine d'ufficio elettronimeccaniche ed elettroniche compresi i computers e i sistemi telefonici elettronici 20% ,,462,22
2186,"Autoveicoli da trasporto (autoveicoli pesanti in genere, carrelli elevatori, mezzi di trasporto interno, ecc) 20% ",,462,22
2187,"Autovetture, motoveicoli e simili 25% ",,462,22
2188,Edifici 3% ,,463,22
2189,"Costruzioni leggere (tettoie, baracche, ecc) 10% ",,463,22
2190,Impianti specifici di utilizzazione10% ,,463,22
2191,"Impianti destinati al trattamento ed al depuramento delle acque, fumi nocivi, ecc mediante impiego di reagenti chimici 15% ",,463,22
2192,Mobili e macchine ordinarie d'ufficio 12% ,,463,22
2193,Macchine d'ufficio elettronimeccaniche ed elettroniche compresi i computers e i sistemi telefonici elettronici 20% ,,463,22
2194,"Autoveicoli da trasporto (autoveicoli pesanti in genere, carrelli elevatori, mezzi di trasporto interno, ecc) 20% ",,463,22
2195,"Autovetture, motoveicoli e simili 25% ",,463,22
2196,Edifici 3% ,,464,22
2197,"Costruzioni leggere (tettoie, baracche, ecc) 10% ",,464,22
2198,"Attrezzatura specifica 12,5% ",,464,22
2199,"Impianti destinati al trattamento ed al depuramento delle acque, fumi nocivi, ecc mediante impiego di reagenti chimici 15% ",,464,22
2200,Mobili e macchine ordinarie d'ufficio 12% ,,464,22
2201,Macchine d'ufficio elettronimeccaniche ed elettroniche compresi i computers e i sistemi telefonici elettronici 20% ,,464,22
2202,"Autoveicoli da trasporto (autoveicoli pesanti in genere, carrelli elevatori, mezzi di trasporto interno, ecc) 20% ",,464,22
2203,"Autovetture, motoveicoli e simili 25% ",,464,22
2204,Fabbricati in muratura destinati a padiglioni per esposizione 10% ,,465,23
2205,Costruzioni in legno o in stutture mobili 20% ,,465,23
2206,Mobili comuni ed arredamento 10% ,,465,23
2207,"Aredamento fiere (transenne, ecc) 27% ",,465,23
2208,Mobili e macchine ordinarie d'ufficio 12% ,,465,23
2209,Macchine d'ufficio elettromeccaniche ed elettroniche compresi i computers e i sistemi telefonici elettronici 20% ,,465,23
2210,"Autoveicoli da trasporto (autoveicoli pesanti in genere, carrelli elevatori, mezzi di trasporto interno, ecc) 20% ",,465,23
2211,"Autovetture, motoveicoli e simili 25% ",,465,23
2212,Edifici 3% ,,466,23
2213,Fabbricati destinati alla grande distribuzione 6% ,,466,23
2214,"Costruzioni leggere (tettoie, baracche, ecc) 10% ",,466,23
2215,"Impianti e mezzi di sollevamento, carico e scarico, pesatura, ecc 7,5% ",,466,23
2216,"Macchinari, apparecchi e attrezzature varie (compreso frigorifero, impianto di condizionamento e distributore automatico 15% ",,466,23
2217,Stigliatura 10% ,,466,23
2218,Arredamento 15% ,,466,23
2219,Banconi blindati o con cristalli blindati 20% ,,466,23
2220,"Impianti di allarme, di ripresa fotografica, cinematografica e televisiva 30% ",,466,23
2221,Impianti interni speciali di comunicazione e telesegnalazione 25% ,,466,23
2222,"Impianti destinati al trattamento ed al depuramento delle acque, fumi nocivi, ecc mediante impiego di reagenti chimici 15% ",,466,23
2223,Mobili e macchine ordinarie d'ufficio 12% ,,466,23
2224,Macchine d'ufficio elettronimeccaniche ed elettroniche compresi i computers e i sistemi telefonici elettronici 20% ,,466,23
2225,"Autoveicoli da trasporto (autoveicoli pesanti in genere, carrelli elevatori, mezzi di trasporto interno, ecc) 20% ",,466,23
2226,"Autovetture, motoveicoli e simili 25% ",,466,23
