id,code,name
352,282910,Fabbricazione di bilance e di macchine automatiche per la vendita e la distribuzione (incluse parti staccate e accessori)
353,282920,"Fabbricazione di macchine e apparecchi per le industrie chimiche, petrolchimiche e petrolifere (incluse parti e accessori)"
354,282930,"Fabbricazione di macchine automatiche per la dosatura, la confezione e per l'imballaggio (incluse parti e accessori)"
355,282991,Fabbricazione di apparecchi per depurare e filtrare liquidi e gas per uso non domestico
356,282992,Fabbricazione di macchine per la pulizia (incluse le lavastoviglie) per uso non domestico
357,282993,"Fabbricazione di livelle, metri doppi a nastro e utensili simili, strumenti di precisione per meccanica (esclusi quelli ottici)"
358,282999,Fabbricazione di altro materiale meccanico e di altre macchine di impiego generale nca
359,283010,Fabbricazione di trattori agricoli
360,283090,"Fabbricazione di altre macchine per l'agricoltura, la silvicoltura e la zootecnia"
361,284100,Fabbricazione di macchine utensili per la formatura dei metalli (incluse parti e accessori ed escluse le parti intercambiabili)
362,284901,Fabbricazione di macchine per la galvanostegia
363,284909,Fabbricazione di altre macchine utensili (incluse parti e accessori) nca
364,289100,Fabbricazione di macchine per la metallurgia (incluse parti e accessori)
365,289201,"Fabbricazione di macchine per il trasporto a cassone ribaltabile per impiego specifico in miniere, cave e cantieri"
366,289209,"Fabbricazione di altre macchine da miniera, cava e cantiere (incluse parti e accessori)"
367,289300,"Fabbricazione di macchine per l'industria alimentare, delle bevande e del tabacco (incluse parti e accessori)"
368,289410,"Fabbricazione di macchine tessili, di macchine e di impianti per il trattamento ausiliario dei tessili, di macchine per cucire e per maglieria (incluse parti e accessori)"
369,289420,"Fabbricazione di macchine e apparecchi per l'industria delle pelli, del cuoio e delle calzature (incluse parti e accessori)"
370,289430,Fabbricazione di apparecchiature e di macchine per lavanderie e stirerie (incluse parti e accessori)
371,289500,Fabbricazione di macchine per l'industria della carta e del cartone (incluse parti e accessori)
372,289600,Fabbricazione di macchine per l'industria delle materie plastiche e della gomma (incluse parti e accessori)
373,289910,Fabbricazione di macchine per la stampa e la legatoria (incluse parti e accessori)
374,289920,Fabbricazione di robot industriali per usi molteplici (incluse parti e accessori)
375,289930,Fabbricazione di apparecchi per istituti di bellezza e centri di benessere
376,289991,"Fabbricazione di apparecchiature per il lancio di aeromobili, catapulte per portaerei e apparecchiature simili"
377,289992,"Fabbricazione di giostre, altalene ed altre attrezzature per parchi di divertimento"
378,289993,Fabbricazione di apparecchiature per l'allineamento e il bilanciamento delle ruote
379,289999,Fabbricazione di altre macchine ed attrezzature per impieghi speciali nca (incluse parti e accessori)
380,291000,Fabbricazione di autoveicoli
381,292000,"Fabbricazione di carrozzerie per autoveicoli, rimorchi e semirimorchi"
382,293100,Fabbricazione di apparecchiature elettriche ed elettroniche per autoveicoli e loro motori
383,293201,Fabbricazione di sedili per autoveicoli
384,293209,Fabbricazione di altre parti ed accessori per autoveicoli e loro motori nca
385,301101,Fabbricazione di sedili per navi
386,301102,Cantieri navali per costruzioni metalliche e non metalliche (esclusi i sedili per navi)
387,301200,Costruzione di imbarcazioni da diporto e sportive
388,302001,"Fabbricazione di sedili per tram, filovie e metropolitane"
389,302002,"Costruzione di altro materiale rotabile ferroviario, tranviario, filoviario, per metropolitane e per miniere"
390,303001,Fabbricazione di sedili per aeromobili
391,303002,Fabbricazione di missili balistici
392,303009,"Fabbricazione di aeromobili, di veicoli spaziali e dei relativi dispositivi nca"
393,304000,Fabbricazione di veicoli militari da combattimento
394,309111,Fabbricazione di motori per motocicli
395,309112,Fabbricazione di motocicli
396,309120,Fabbricazione di accessori e pezzi staccati per motocicli e ciclomotori
397,309210,Fabbricazione e montaggio di biciclette
398,309220,Fabbricazione di parti ed accessori per biciclette
399,309230,Fabbricazione di veicoli per invalidi (incluse parti e accessori)
400,309240,Fabbricazione di carrozzine e passeggini per neonati
401,309900,Fabbricazione di veicoli a trazione manuale o animale
402,310110,Fabbricazione di sedie e poltrone per ufficio e negozi
403,310121,Fabbricazione di altri mobili metallici per ufficio e negozi
404,310122,Fabbricazione di altri mobili non metallici per ufficio e negozi
405,310200,Fabbricazione di mobili per cucina
406,310300,Fabbricazione di materassi
407,310910,Fabbricazione di mobili per arredo domestico
408,310920,"Fabbricazione di sedie e sedili (esclusi quelli per aeromobili, autoveicoli, navi, treni, ufficio e negozi)"
409,310930,Fabbricazione di poltrone e divani
410,310940,Fabbricazione di parti e accessori di mobili
411,310950,Finitura di mobili
412,310990,Fabbricazione di altri mobili (inclusi quelli per arredo esterno)
413,321100,Coniazione di monete
