no_import,default_code,supplier_product_code,COD.ART.PROD.,name,GIAC.,GIAC.MIN.,IMP.,ORD.,PREAS.,U.M.,PRZ.LISTINO,SC. L.1,SC. L.2,SC. L.3,supplier_cost,ALTRI FORN.,RIC. 1,price,IVA,supplier_name,GRUPPO MERCEOLOGICO,MARCA,COD.SC.PROD.,SIGLA PROD.,COD.PROD.,PRODUTTORE,POS.MAG.,MOV.,COD.REP.,REPARTO,COD.SET.,SETTORE,COD.FAM.,FAMIGLIA,LINEA,COD.BARRE,COD.RAGGRUP.,E.C.,DATA INS
,2373,7500,,FILTRO STOP,0,0,0,0,0,N.,"5,22",0,0,0,"5,22",,30,"6,786",22,LA NUOVA SITES,,,0,,0,,,S,,,,,,,,,,,03/11/2011
,1007,91200125,,FINE LINEA DIAM. 125,0,0,0,0,0,N.,"34,35",0,0,0,"34,35",,30,"44,655",22,PICENUM PLAST SPA,,,0,,0,,,S,,,,,,,,,,,22/06/2011
,2753,XCKN2102G11,,FINECORSA 1NO+INC PG11 C/PULS+ROTELLA,0,0,0,0,0,N.,"4,3",0,0,0,"4,3",,30,"5,59",22,EDIF SPA,,,0,,0,,,S,,,,,,,,,,,31/01/2012
,5235,00024520,,FISCHER INOX PER BIDET,0,0,0,0,0,N.,"1,81",0,0,0,"1,81",,30,"2,353",22,IMETER SPA,,,0,,0,,,S,,,,,,,,,,,22/08/2013
,5234,00024470,,FISHER PER LAVABO A PARETE,0,0,0,0,0,N.,"1,79",0,0,0,"1,79",,30,"2,327",22,IMETER SPA,,,0,,0,,,S,,,,,,,,,,,22/08/2013
,5833,00024490,,FISHER WDS10 PER SCALDABAGNO,0,0,0,0,0,N.,"1,365",0,0,0,"1,365",,30,"1,7745",22,IMETER SRL,,,0,,0,,,S,,,,,,,,,,,21/01/2014
,1315,00075760,,FISS. PER VASO/BIDET SOSP.,0,0,0,0,0,N.,21,0,0,0,21,,30,"27,3",22,IMETER SPA,,,0,,0,,,S,,,,,,,,,,,21/07/2011
,5152,054027,,FISSACAVO 23-32 CHIUSO,0,0,0,0,0,N.,"0,848",0,0,0,"0,848",,30,"1,1024",22,CAMBIELLI EDILFRIULI SPA,,,0,,0,,,S,,,,,,,,,,,30/07/2013
,5452,054028,,FISSACAVO SCH 32-42 CHIUSO FISH,0,0,0,0,0,N.,"1,13",0,0,0,"1,13",,30,"1,469",22,CAMBIELLI EDILFRIULI SPA,,,0,,0,,,S,,,,,,,,,,,03/10/2013
,4665,346980,,FISSAGGIO MURI ISOL. CAPP. 10X140,0,0,0,0,0,N.,"3,672",0,0,0,"3,672",,30,"4,7736",22,CAMBIELLI EDILFRIULI SPA,,,0,,0,,,S,,,,,,,,,,,05/02/2013
